,city_name,Latitude,Longitude,Wind Speed,Humidity,Temperature,Cloudiness,Country Name,Date
259,lodja,-3.48,23.43,1.95,98,69.37,98,CD,1603935426
260,ternate,0.8,127.4,3.15,66,82.29,100,ID,1603935426
261,shangzhi,45.22,127.97,6.2,64,39.52,0,CN,1603935426
262,qena,26.16,32.72,3.58,48,71.37,0,EG,1603935426
263,ucluelet,48.93,-125.55,3.36,100,54.0,90,CA,1603935243
264,lock haven,41.14,-77.45,2.73,95,51.01,100,US,1603935427
265,townsville,-19.25,146.8,5.01,42,91.0,0,AU,1603935427
266,pevek,69.7,170.31,17.11,95,20.08,100,RU,1603935391
267,lunenburg,44.38,-64.32,7.34,92,41.0,97,CA,1603935427
268,olinda,-8.01,-34.86,12.08,76,77.67,100,BR,1603935427
269,marawi,8.0,124.29,3.0,79,81.0,75,PH,1603935427
270,don benito,38.96,-5.86,3.0,90,57.99,0,ES,1603935427
271,santa isabel,-23.32,-46.22,1.01,66,73.0,0,BR,1603935428
272,jalu,29.03,21.55,7.11,74,62.49,0,LY,1603935428
273,sellye,48.15,17.88,3.31,97,48.99,57,SK,1603935428
274,kondinskoye,59.65,67.41,12.48,97,32.47,100,RU,1603935428
275,macia,-25.03,33.1,4.54,91,65.89,0,MZ,1603935428
276,bontang,0.13,117.5,6.08,75,83.52,100,ID,1603935428
277,surgut,61.25,73.42,5.03,89,10.6,81,RU,1603935428
278,decatur,39.84,-88.95,5.82,81,48.2,90,US,1603935196
279,airai,-8.93,125.41,3.76,50,77.2,52,TL,1603935429
280,pokhara,28.23,83.98,2.46,33,68.04,0,NP,1603935429
281,qui nhon,13.77,109.23,4.0,72,81.19,5,VN,1603935214
282,tacuati,-23.45,-56.58,4.63,93,71.94,100,PY,1603935429
283,merauke,-8.47,140.33,9.71,67,83.73,2,ID,1603935429
284,coquimbo,-29.95,-71.34,0.56,71,55.89,0,CL,1603935334
285,cedar city,37.68,-113.06,5.01,29,48.99,0,US,1603935411
286,paita,-5.09,-81.11,12.46,83,65.01,100,PE,1603935430
287,alihe,50.57,123.72,2.57,77,32.9,0,CN,1603935430
288,plettenberg bay,-34.05,23.37,3.4,87,60.39,100,ZA,1603935430
289,port said,31.26,32.28,12.19,66,76.37,7,EG,1603935430
290,san angelo,31.46,-100.44,5.01,61,48.99,0,US,1603935148
291,codrington,-38.27,141.97,8.99,70,57.99,100,AU,1603935430
292,limbang,4.75,115.0,3.0,83,84.0,22,MY,1603935430
293,candido mendes,-1.45,-45.72,3.78,90,75.79,47,BR,1603935431
294,georgetown,5.41,100.34,5.01,88,80.01,100,MY,1603935292
295,comodoro rivadavia,-45.87,-67.5,12.73,37,56.71,0,AR,1603935291
296,tahta,26.77,31.5,8.86,68,70.02,0,EG,1603935431
297,aksha,50.28,113.29,1.61,71,35.87,62,RU,1603935431
298,yerbogachen,61.28,108.01,12.86,87,17.56,100,RU,1603935431
299,bose,45.46,8.01,2.15,88,48.99,100,IT,1603935431
300,shizuishan,39.23,106.77,4.52,50,46.85,0,CN,1603935432
301,puerto ayora,-0.74,-90.35,1.99,93,69.01,61,EC,1603935432
302,mahebourg,-20.41,57.7,4.0,73,70.0,70,MU,1603935432
303,koulamoutou,-1.13,12.47,1.21,96,70.18,99,GA,1603935432
304,cabra,37.47,-4.44,5.01,80,55.99,0,ES,1603935432
305,san ignacio,17.16,-89.07,3.22,82,75.0,98,BZ,1603935432
306,beinamar,8.67,15.38,2.82,53,73.17,1,TD,1603935432
307,le port,-20.94,55.29,4.7,82,66.2,0,RE,1603935432
308,oytal,42.91,73.27,1.81,86,31.86,1,KZ,1603935433
309,tual,-5.67,132.75,5.23,74,82.24,99,ID,1603935433
310,sorong,-0.88,131.25,6.31,84,77.99,100,ID,1603935433
311,verkhoyansk,67.54,133.38,1.81,92,4.68,100,RU,1603935433
312,princeton,25.54,-80.41,8.05,83,82.4,40,US,1603935433
313,pangnirtung,66.15,-65.71,4.43,81,8.67,44,CA,1603935433
